id;name;description;is_active;created_date
1;Table;open-source;false;2021-09-25
2;transmit;District Practical Chief;true;2021-09-25
3;orchestrate Nevada;Belarussian fuchsia Soap;false;2021-09-25
4;killer red;Persevering Tasty;false;2021-09-25
5;Realigned Delaware;Overpass;true;2021-09-25
6;Fresh;pink Account;false;2021-09-25
7;plug-and-play;Specialist;false;2021-09-25
8;Handcrafted JSON;Loan connecting systems;false;2021-09-25
9;Open-source Baby Borders;SQL Avon;false;2021-09-25
10;Island Saint Money;TCP;true;2021-09-25
