id;name;description;created_date
1;Administrator holistic engine;disintermediate blue;2021-10-30
2;Cayman compress;wireless;2021-10-31
3;Rubber De-engineered;product Manors Associate;2021-10-30
4;revolutionize Plastic;bus;2021-10-30
5;Haiti payment;Right-sized Corners;2021-10-30
6;e-enable card optimize;Egyptian;2021-10-30
7;Shirt Stand-alone conglomeration;Assistant Response;2021-10-30
8;black;Nakfa responsive;2021-10-30
9;Compatible National Concrete;Cambridgeshire Indiana pixel;2021-10-31
10;sensor Multi-tiered;firewall protocol Leone;2021-10-30
